Cruise,Station,Year,Month,Day,Hour,Lat,Long,Pressure_CTD (dbar),Depth (m),Temperatura_CTD (C),Salinidade_CTD (psu),Sound velocity_CTD (m/s),Density_CTD(kg/m3),Prof local (m),Secchi (m),Salinidade (psu),Temperatura (C),pH,pH2,Tph,OD (mg/L),OD (% sat),OD (frasco),pCO2,Cond(mS/cm),Ch4,Metais (ml),N Fil Metais,MPS (mL),MPS (mg/ L),Volume filtrado Chl-a (ml),Chl a (ug/m3),Feo (ug/m3),Clorf-a (ug/m3),Clorf-b (ug/m3),Clorf-c (ug/m3),Clorf-a 2(ug/m3),Clorf-b 2(ug/m3),Clorf-c 2(ug/m3),Carotenoide Diatom (ug/m3),Carotenoide Dinofl (ug/m3)
VLT01,VLT123,2021,11,4,5:16,-23.263967,-44.6263,,1,,,,,7.4,,,,,,,,,,,,,,,,,1800,1.36,0.28,1.6,0.1,0.24,1.55,0.08,0.54,0.87,2.18
VLT01,VLT123,2021,11,4,5:16,-23.263967,-44.6263,,6.4,,,,,7.4,,,,,,,,,,,,,,,1800,3.8,1700,2.03,0.46,2.4,0.14,0.39,2.34,0.1,0.87,1.23,3.08
VLT01,VLT124,2021,11,4,8:11,-23.263967,-44.6263,,1,,,,,6.6,3,31.48,22.19,8.16,,,5.15,70.9,,512,,,,,3000,2.2,3000,0.75,0.11,0.8,0.08,0.09,0.83,0.06,0.21,0.5,1.24
VLT01,VLT124,2021,11,4,8:11,-23.263967,-44.6263,,1,,,,,6.6,,,,,,,,,,,,,,,,,1900,1.21,0.2,1.4,0.08,0.19,1.35,0.06,0.43,0.84,2.09
VLT01,VLT124,2021,11,4,8:11,-23.263967,-44.6263,,5.6,,,,,6.6,,,,,,,,,,,,,,,1800,3.4,1800,2.74,0.32,3,0.22,0.51,2.98,0.17,1.14,1.49,3.73
VLT01,VLT125,2021,11,5,8:59,-23.2121,-44.571567,,1,,,,,19.9,5,33.91,22.99,8.22,8.35,,7.72,108.7,,440,,,,,2500,1.8,2750,0.84,0.06,0.9,0.04,0.14,0.9,0.03,0.32,0.49,1.23
VLT01,VLT125,2021,11,5,8:59,-23.2121,-44.571567,,1,,,,,19.9,,,,,,,,,,,,,,,,,2000,0.91,0.11,1,0.06,0.14,1,0.04,0.31,0.65,1.62
VLT01,VLT125,2021,11,5,8:59,-23.2121,-44.571567,,18.9,,,,,19.9,,,,,,,,,,,,,,,,,2000,1.26,0.54,1.6,0.07,0.33,1.61,0.04,0.73,0.68,1.69
VLT01,VLT126,2021,11,5,10:14,-23.229167,-44.5977,,1,,,,,13.1,6,33.3,23.81,8.23,8.277,,7.61,108.8,,438,,,,,2750,1.9,2750,0.67,0,0.7,0.04,0.1,0.68,0.03,0.22,0.37,0.92
VLT01,VLT126,2021,11,5,10:14,-23.229167,-44.5977,,1,,,,,13.1,,,,,,,,,,,,,,,,,1860,0.6,0.1,0.7,0.03,0.07,0.68,0.02,0.16,0.49,1.23
